variable,label,median,mean,std,max,min
Cell_Density,MED,7735.5,7874.4,2206.58,13174.55,2920.44
Cell_Density,ATRT,6865.09,7430.45,2265.33,11874.29,4346.2
Cell_Density,EP,5372.26,5577.96,1950.0,11392.24,1641.99
Cell_Density,MEN,5116.54,5241.23,1408.02,8084.54,2549.12
Cell_Density,ASTR_HGG,3715.32,4054.66,1818.59,10341.33,430.94
Cell_Density,ASTR_LGG,2699.43,2867.9,1229.32,8114.96,537.54
Cell_Density,DIPG,2800.7,2796.67,716.19,3781.6,1858.87
Cell_Density,DNET,2495.33,2756.35,1435.75,7318.23,1413.05
Cell_Density,GANG,2409.56,2601.02,1228.91,6897.72,1053.88
Positive_Cells,MED,141900.0,219665.44,230170.53,1323827.0,2843.0
Positive_Cells,ATRT,115952.0,131871.14,96172.98,468107.0,3380.0
Positive_Cells,EP,38949.5,69013.49,92111.05,545553.0,155.0
Positive_Cells,DNET,886.5,49012.07,175546.52,658844.0,103.0
Positive_Cells,ASTR_HGG,22384.0,44696.52,68573.18,391671.0,42.0
Positive_Cells,MEN,7382.0,34840.64,59456.91,276996.0,264.0
Positive_Cells,DIPG,7675.0,17612.45,22458.24,78417.0,793.0
Positive_Cells,GANG,1247.0,8185.21,44263.45,352706.0,128.0
Positive_Cells,ASTR_LGG,1259.0,3626.96,6649.87,40739.0,5.0
Positive_Cells_Density,MED,1582.44,1725.49,1098.42,5159.88,61.97
Positive_Cells_Density,ATRT,1382.78,1522.89,807.12,2682.21,20.02
Positive_Cells_Density,EP,368.35,582.5,649.8,2678.02,2.58
Positive_Cells_Density,ASTR_HGG,340.63,515.39,540.29,3088.62,2.43
Positive_Cells_Density,DIPG,315.46,373.28,328.61,1183.52,44.68
Positive_Cells_Density,DNET,16.21,302.57,1037.99,3907.71,1.7
Positive_Cells_Density,MEN,62.49,196.53,280.65,1212.32,6.52
Positive_Cells_Density,GANG,13.54,50.93,207.85,1652.21,2.14
Positive_Cells_Density,ASTR_LGG,21.45,41.2,59.05,577.11,0.47
Negative_Cells,MED,582960.0,812322.32,813154.35,4609365.0,31567.0
Negative_Cells,MEN,642241.0,798712.36,681297.8,3197390.0,69696.0
Negative_Cells,EP,519213.0,675933.56,545054.96,2467049.0,25723.0
Negative_Cells,ATRT,501751.0,635700.76,471730.09,1855899.0,89769.0
Negative_Cells,ASTR_HGG,199812.5,309938.08,338809.91,1938528.0,3721.0
Negative_Cells,GANG,252130.0,296026.49,222648.92,977617.0,35520.0
Negative_Cells,ASTR_LGG,155786.0,260363.75,280786.38,1945025.0,6251.0
Negative_Cells,DNET,123514.5,209185.79,217593.59,830825.0,85742.0
Negative_Cells,DIPG,78236.0,124930.64,126329.22,424631.0,20813.0
Negative_Cells_Density,MED,6226.67,6148.9,2350.98,12995.28,1119.45
Negative_Cells_Density,ATRT,5908.83,5907.57,1921.75,9526.94,2688.03
Negative_Cells_Density,MEN,4818.41,5044.7,1285.82,7622.89,2503.9
Negative_Cells_Density,EP,5080.68,4995.47,1756.61,9381.84,1141.03
Negative_Cells_Density,ASTR_HGG,3233.67,3542.78,1701.45,10223.09,281.82
Negative_Cells_Density,ASTR_LGG,2674.58,2828.13,1225.46,8107.55,381.12
Negative_Cells_Density,GANG,2376.8,2540.76,1205.08,6868.12,1048.48
Negative_Cells_Density,DNET,2431.76,2453.78,638.27,3433.71,1411.35
Negative_Cells_Density,DIPG,2598.08,2423.4,596.65,3357.26,1543.41
Ki67_LI,MED,19.84,23.1,16.15,68.75,1.36
Ki67_LI,ATRT,19.36,20.48,11.2,49.35,0.46
Ki67_LI,ASTR_HGG,9.5,12.78,11.93,56.02,0.1
Ki67_LI,DIPG,11.5,12.69,9.19,31.3,2.4
Ki67_LI,EP,5.88,10.24,11.79,64.09,0.04
Ki67_LI,DNET,0.63,4.77,14.04,53.4,0.12
Ki67_LI,MEN,1.84,3.37,3.92,15.0,0.12
Ki67_LI,GANG,0.5,1.59,5.18,41.12,0.13
Ki67_LI,ASTR_LGG,0.85,1.56,2.18,16.37,0.02
